AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL
ABJ,Felix Houphouet Boigny Abidjan,"Abidjan, Cote d'Ivoire",30137,"Abidjan, Cote d'Ivoire"
ABJ,Felix Houphouet Boigny Abidjan International,"Abidjan, Cote d'Ivoire",30137,"Abidjan, Cote d'Ivoire"
ABJ,Felix Houphouet Boigny Abidjan International,"Abidjan, Cote d'Ivoire",30137,"Abidjan, Cote d'Ivoire"
ABK,Kabri Dar Airport,"Kabri Dar, Ethiopia",30138,"Kabri Dar, Ethiopia"
ABK,Kebri Dahar,"Kabri Dar, Ethiopia",30138,"Kabri Dar, Ethiopia"
ABK,Kebri Dahar,"Kabri Dar, Ethiopia",30138,"Kabri Dar, Ethiopia"
ABK,Kebri Dahar,"Kabri Dar, Ethiopia",30138,"Kabri Dar, Ethiopia"
ABK,Kebri Dahar,"Kabri Dar, Ethiopia",30138,"Kabri Dar, Ethiopia"
ABL,Ambler River,"Ambler, AK",30139,"Ambler, AK"
ABQ,Albuquerque International Sunport,"Albuquerque, NM",30140,"Albuquerque, NM"
ABQ,Albuquerque International Sunport,"Albuquerque, NM",30140,"Albuquerque, NM"
ABQ,Albuquerque International Sunport,"Albuquerque, NM",30140,"Albuquerque, NM"
ABQ,Albuquerque International Sunport,"Albuquerque, NM",30140,"Albuquerque, NM"
ABQ,Albuquerque International Sunport,"Albuquerque, NM",30140,"Albuquerque, NM"
ABQ,Albuquerque International Sunport,"Albuquerque, NM",30140,"Albuquerque, NM"
